Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
Airport: [BOO] Bodo, Norway
Airport: [DAL] Dallas Love Fld, United States
Airport: [DAR] Mwalimu Julius K Nyerere Intl, Tanzania
Airport: [NRN] Niederrhein, Germany
Airport: [KRK] Balice, Poland
Airport: [SVG] Sola, Norway
Airport: [JAV] Ilulissat, Greenland
Airport: [CNX] Chiang Mai Intl, Thailand
Airport: [HBE] Borg El Arab Intl, Egypt
Airport: [NAY] Beijing Nanyuan Airport, China
Airport: [MLE] Male Intl, Maldives
Airport: [GUM] Guam Intl, Guam
Airport: [KCH] Kuching Intl, Malaysia
Airport: [YRL] Red Lake Airport, Canada
Airport: [IFN] Esfahan Shahid Beheshti Intl, Iran
Airport: [YNT] Laishan, China
Airport: [KGL] Kigali Intl, Rwanda
Airport: [AAQ] Vityazevo, Russia
Airport: [SDQ] Las Americas Intl, Dominican Republic
Airport: [IEV] Zhuliany Intl, Ukraine
Airport: [YKS] Yakutsk, Russia
Airport: [MYR] Myrtle Beach Intl, United States
Airport: [AMD] Ahmedabad, India
Airport: [PFO] Pafos Intl, Cyprus
Airport: [XNN] Xining Caojiabu Airport, China
Airport: [COO] Cadjehoun, Benin
Airport: [BIL] Billings Logan International Airport, United States
Airport: [SVQ] Sevilla, Spain
Airport: [LJG] Lijiang Airport, China
Airport: [BRI] Bari, Italy
Airport: [GYN] Santa Genoveva, Brazil
Airport: [EBB] Entebbe Intl, Uganda
Airport: [BTH] Hang Nadim, Indonesia
Airport: [CIA] Ciampino, Italy
Airport: [AWZ] Ahwaz, Iran
Airport: [DJJ] Sentani, Indonesia
Airport: [ERS] Eros Airport, Namibia
Airport: [AJA] Campo Dell Oro, France
Airport: [MBJ] Sangster Intl, Jamaica
Airport: [ISA] Mount Isa, Australia
Airport: [JER] Jersey, Jersey
Airport: [GOT] Landvetter, Sweden
Airport: [KOI] Kirkwall, United Kingdom
Airport: [FLN] Hercilio Luz, Brazil
Airport: [BFS] Belfast Intl, United Kingdom
Airport: [ANU] V C Bird Intl, Antigua and Barbuda
Airport: [HRE] Harare Intl, Zimbabwe
Airport: [UNK] Unalakleet Airport, United States
Airport: [FRU] Manas, Kyrgyzstan
Airport: [EVN] Zvartnots, Armenia
Airport: [JAX] Jacksonville Intl, United States
Airport: [MDE] Jose Maria Cordova, Colombia
Airport: [OUA] Ouagadougou, Burkina Faso
Airport: [MED] Prince Mohammad Bin Abdulaziz, Saudi Arabia
Airport: [NUE] Nurnberg, Germany
Airport: [GDN] Lech Walesa, Poland
Airport: [ABZ] Dyce, United Kingdom
Airport: [CHQ] Souda, Greece
Airport: [BND] Bandar Abbass Intl, Iran
Airport: [SOU] Southampton, United Kingdom
Airport: [EOH] Olaya Herrera, Colombia
Airport: [SFJ] Sondre Stromfjord, Greenland
Airport: [SDF] Louisville International Airport, United States
Airport: [OKC] Will Rogers World, United States
Airport: [GUA] La Aurora, Guatemala
Airport: [IKT] Irkutsk, Russia
Airport: [WUX] Wuxi Airport, China
Airport: [MPM] Maputo, Mozambique
Airport: [PVH] Governador Jorge Teixeira De Oliveira, Brazil
Airport: [SSH] Sharm El Sheikh Intl, Egypt
Airport: [BRE] Neuenland, Germany
Airport: [PLU] Pampulha Carlos Drummond De Andrade, Brazil
Airport: [GAL] Edward G Pitka Sr, United States
Airport: [TRV] Thiruvananthapuram Intl, India
Airport: [VTE] Wattay Intl, Laos
Airport: [PVR] Licenciado Gustavo Diaz Ordaz Intl, Mexico
Airport: [BDL] Bradley Intl, United States
Airport: [RAB] Tokua Airport, Papua New Guinea
Airport: [ZAG] Zagreb, Croatia
Airport: [NYO] Skavsta, Sweden
Airport: [VIX] Goiabeiras, Brazil
Airport: [KUF] Kurumoch, Russia
Airport: [PLS] Providenciales, Turks and Caicos Islands
Airport: [KZN] Kazan, Russia
Airport: [CWL] Cardiff, United Kingdom
Airport: [PIE] St Petersburg Clearwater Intl, United States
Airport: [TRF] Torp, Norway
Airport: [HGU] Mount Hagen, Papua New Guinea
